Reference,Entered by,Checked by,Animal,Animal sub,Treatment 1,Treatment 2,Detailed description,Country,Season/rain,Storage description,Laboratory ,Storage material,Scale,TAN concentration,TN concentration,Dry matter concentration,pH,Air temp,Slurry temp,Wind speed,Emission from uncovered slurry,Emission units,Measurement method,Measurement method description,Notes 1,Notes 2,Notes 3
Harper et al. 2004,SGS,AP,Pig,farrow-to-wean,,,Slurry,USA,Annual,Lagoons,Lagoon,,Full,0.201,,,8,nd,12.9,3,8.9,kg NH3-N ha-1 d-1,Micromet,Micromet,should we not include the whole table 1,I replaced average emissions values by values from Tab 3,
Grant et al. 2013a,SGS,AP,Pig,Finishing,anaerobic treatment,,Slurry,USA,Annual,Lagoons,Lagoon,,Full,0.494,0.568,,8.17,nd,nd,,2.2,g NH3 m-2 d-1,Micromet,Micromet,,,
Grant et al. 2013a,SGS,AP,Pig,Sow,anaerobic treatment,,Slurry,USA,Annual,Lagoons,Lagoon,,Full,0.3,0.438,,8.3,nd,nd,,8.4,g NH3 m-2 d-1,Micromet,Micromet,,,
Flesch et al. 2009,SGS,AP,Cattle,Dairy,Parlor wash,,Slurry,USA,Summer,Lagoons,Lagoon,,Full,,,,,17.5,nd,,3.5,g NH3 m-2 d-1,Micromet,Micromet,,,
Flesch et al. 2009,SGS,AP,Cattle,Dairy,manure,,Slurry,USA,Summer,Lagoons,Lagoon,,Full,,,,,19.7,nd,,8.7,g NH3 m-2 d-1,Micromet,Micromet,,,
Flesch et al. 2009,SGS,AP,Cattle,Dairy,Manure and wash,,Slurry,USA,Summer,Lagoons,Lagoon,,Full,,,,,22,nd,,7.7,g NH3 m-2 d-1,Micromet,Micromet,,,
Flesch et al. 2009,SGS,AP,Cattle,Dairy,Manure and wash,,Slurry,USA,Summer,Lagoons,Lagoon,,Full,,,,,20.2,nd,,6.1,g NH3 m-2 d-1,Micromet,Micromet,,,
Flesch et al. 2009,SGS,AP,Cattle,Dairy,Parlor wash,,Slurry,USA,Fall,Lagoons,Lagoon,,Full,,,,,3.4,nd,,2.3,g NH3 m-2 d-1,Micromet,Micromet,,,
Flesch et al. 2009,SGS,AP,Cattle,Dairy,Manure,,Slurry,USA,Fall,Lagoons,Lagoon,,Full,,,,,3.2,nd,,4.4,g NH3 m-2 d-1,Micromet,Micromet,,,
Flesch et al. 2009,SGS,AP,Cattle,Dairy,Manure and wash,,Slurry,USA,Fall,Lagoons,Lagoon,,Full,,,,,15.2,nd,,6.7,g NH3 m-2 d-1,Micromet,Micromet,,,
Flesch et al. 2009,SGS,AP,Cattle,Dairy,,,Slurry,Canada,Summer,Lagoons,Lagoon,,Full,0.831,,,,nd,22.3,4,5.1,g NH3 m-2 d-1,Micromet,Micromet,,,
Bjoerneberg et al. 2009,SGS,AP,Cattle,Dairy,,,Slurry,USA,January,Lagoons,Lagoon,,Full,,,,,4,nd,1.41,3,kg NH3 ha-1 d-1,Micromet,Micromet,"old file with pen emissions, now replaced by values for ponds!",,
Bjoerneberg et al. 2009,SGS,AP,Cattle,Dairy,,,Slurry,USA,March,Lagoons,Lagoon,,Full,,,,,6.5,nd,1.55,5,kg NH3 ha-1 d-1,Micromet,Micromet,"old file with pen emissions, now replaced by values for ponds!",,
Bjoerneberg et al. 2009,SGS,AP,Cattle,Dairy,,,Slurry,USA,June,Lagoons,Lagoon,,Full,,,,,22,nd,2.28,20,kg NH3 ha-1 d-1,Micromet,Micromet,"old file with pen emissions, now replaced by values for ponds!",,
Bjoerneberg et al. 2009,SGS,AP,Cattle,Dairy,,,Slurry,USA,September,Lagoons,Lagoon,,Full,,,,,12,nd,1.2,9,kg NH3 ha-1 d-1,Micromet,Micromet,"old file with pen emissions, now replaced by values for ponds!",,
Leytem et al. 2011,SGS,AP,Cattle,Dairy,waste water pond,,Slurry,USA,Annual,Lagoons,Lagoon,,Full,,,,,nd,nd,,2,g NH3 m-2 d-1,Micromet,Micromet,,,
Leytem et al. 2018,SGS,AP,Cattle,Dairy,dry lot,,Slurry,USA,sept - june,Lagoons,Lagoon,,Full,0.1,0.3,,7.7,7.9,16,4.3,16.0,kg NH3 ha-1 d-1,Micromet,Micromet,,,
Leytem et al. 2018,SGS,AP,Cattle,Dairy,dry lot,,Slurry,USA,dec-june,Lagoons,Lagoon,,Full,0.151,0.451,,7.9,14.2,16,5.3,18.0,kg NH3 ha-1 d-1,Micromet,Micromet,,,
